Country_x,Gdp,Medal_y
Hungary,12363.543459653898,1079.0
Austria,43774.985173612,146.0
Greece,18002.230577668797,148.0
United States of America,56115.7184261955,4585.0
Germany,41313.3139945434,1305.0
United Kingdom,43875.9696143686,1720.0
France,36205.5681017036,1396.0
Australia,56310.9629933721,1189.0
Denmark,51989.2934712354,507.0
Switzerland,80945.0792194742,380.0
0,0.0,0.0
Netherlands,44299.768085382995,851.0
Belgium,40324.0277657215,411.0
India,1598.25903421916,184.0
Canada,43248.529909341,649.0
Sweden,50579.67364867769,1044.0
Norway,74400.3697770928,554.0
Spain,25831.5823052954,442.0
Italy,29957.804315437203,1296.0
Cuba,0.0,410.0
South Africa,5723.97335690212,106.0
Finland,42311.0362306446,456.0
Estonia,17118.5042003236,39.0
New Zealand,37807.9672760442,190.0
Brazil,8538.5899749574,431.0
Japan,32477.215144923397,788.0
Luxembourg,101449.96816804199,2.0
Argentina,13431.8783398577,259.0
Poland,12554.547553631299,511.0
Portugal,19222.1500764153,33.0
Uruguay,15573.900919181799,76.0
Haiti,818.343297634549,8.0
Egypt,3614.74676616271,28.0
Philippines,2904.2020819152804,9.0
Ireland,61133.672427322,30.0
Chile,13416.230039018501,33.0
Latvia,13648.5475564772,20.0
Mexico,9005.02426497766,106.0
Turkey,9125.68758972936,86.0
Panama,13268.113754933502,3.0
Jamaica,5232.02458271187,127.0
Sri Lanka,3926.17439589454,2.0
Puerto Rico*,0.0,8.0
Peru,6027.1258552955105,15.0
Iran,0.0,61.0
Trinidad and Tobago,17321.884675056,20.0
Venezuela,0.0,12.0
Bulgaria,6993.47735975728,333.0
Lebanon,8047.64508557496,4.0
Iceland,50173.3399156473,17.0
Pakistan,1434.69666504969,121.0
Bahamas,22817.2308572518,27.0
Taiwan,0.0,44.0
Ethiopia,619.169406475891,45.0
Morocco,2878.20134215919,22.0
Ghana,1369.7011222758501,16.0
Iraq,4943.76038832056,1.0
Singapore,52888.7446717529,4.0
Tunisia,3872.51208364171,10.0
Kenya,1376.7128289488098,93.0
Nigeria,2640.2907388575,84.0
Uganda,705.2925695350681,7.0
Cameroon,1217.26067048427,23.0
Mongolia,3967.82938559498,24.0
Colombia,6056.14771720405,19.0
Niger,358.958152040005,1.0
Thailand,5814.7697638235495,25.0
Bermuda,0.0,1.0
Tanzania,878.97510552608,2.0
Guyana,4127.35101806198,1.0
Zimbabwe,924.1438192534121,23.0
China,8027.6838101390695,807.0
Cote d'Ivoire,1398.9899576841299,1.0
Zambia,1304.87901447726,2.0
Dominican Republic,6468.473491543299,6.0
Algeria,4206.03123244958,15.0
Syria,0.0,3.0
Suriname,9485.31924429496,2.0
Costa Rica,11260.0921598775,4.0
Indonesia,3346.48703949478,38.0
Senegal,899.5798794849769,1.0
Djibouti,1945.1242931044396,1.0
Netherlands Antilles*,0.0,1.0
Virgin Islands*,0.0,1.0
Namibia,4673.56724769495,4.0
Qatar,73653.3944346574,4.0
Lithuania,14147.0493792403,55.0
Malaysia,9768.32686011881,8.0
Croatia,11535.8293558997,114.0
Israel,35728.0934951515,7.0
Slovenia,20726.5398863708,26.0
Russia,9092.580536068841,768.0
Ukraine,2114.9547162844397,173.0
Ecuador,6205.0641452995105,2.0
